id,name,vendor_type,status,general_email,website,phone,street_address,city,state,zip,country,previous_participant,notes
1,ACDC Reeds,NEW,,,https://www.arieldetwiler.com/store/p2/acdcreeds.html,,,,,,,,"PAID Definitely Table, extra badge, 1/2 page ad. Discussion about a sponsorsihp. 10/5 email - definitely interested!"
2,Adam Trussell Double Reeds,NEW,,,https://adamtrusselldoublereeds.com,4029904079,,,,,,,10/23 interested - symphony schedule might conflictnew 2022 emailed 10/8
3,Advantage-USA Reeds and Supplies ,vendor,,,Advantage@Advantage-USA.com,360.301.3672,PO BOX 1464,Port Townsend,WA,98368,,,
4,Andante e Rondo,NEW,,,http://www.andanterondo.com/,,,,,,,,emailed 10/12/22
5,Angry Duck Reeds (Carlson Reed Co.),vendor,,,carlsonreedco.com,,P.O. Box 822251,Pembroke Pines,FL,33082,,,
6,ARIA Double Reeds,NEW,,,,,,,,,,,10/7/22 (sent email invitation); responded that unable to support in any way this year
7,Arundo Reeds and Cane,vendor,,,http://www.arundoreeds.com,5036470958,18082 NW Dixie Mtn. Rd.,North Plains,OR,97133,,,No longer in business (notice on website)
8,Barton Cane,vendor,,,,,,,,,,Exhibitor (2014), PAID. emailed 10/5 Definitely a table and an extra badge - probably a commercial too (Julie is trying to talk David into it)
9,Bassoon 123,vendor,,,www.bassoon123.us,4508123037,1500 Palerme St. # 202,Brossard,QC,J4W 3M6,,,
10,Bassoons.ch,NEW,,,https://bassoons.ch,,,,,,,,new 2022
11,Beeline Reeds,NEW,,,https://beelinereeds.square.site/s/shop,,,,,,,,"They missed Zoom meeting scheduling a new on. new 2022 Contacte via website 10/8, Zoom meeting 10/13"
12,Bel Canto Reeds,vendor,,,www.belcantoreeds.com,,,,NY,,,,
13,Bell Bassoons Limited,maker,,,bellbassoons.com,7056520088,"2126 McCracken's landing Rd, R.R. #2",Lakefield,ON,K0L 2H0,,,email invitation sent 10/7/22; 
14,Blue Moon Bassoon ,NEW,,,,,,,,,,,"PAID Table, extra badge, half page ad. emailed 10/8"
15,BG France,vendor,,,www.bgfranckbichon.com,609-489-3500,,,,,,,emailed 10/12/22; responded 10/14/22 that they cannot support in any way this year.
16,Bocal Majority Bassoon Camp,workshop/festival,,,bocalmajority.com,9402064527,,,,,,Exhibitor (2014),"PAID. 3 tables, Camp pricing Full page ad. emailed 10/13/22"
17,Buffet Crampon/Schreiber Bassoons,NEW,,,,,,,,,,,email invitation sent 10/7/22; responded that they do not have the budget this year and have conflict with another conference at same time of MQBS
18,Capitol Cane,NEW,,,http://capitolcane.com/,310-849-1745,,,,,,,email invitation sent 10/7/22; 
19,Charles Double Reed Company,vendor,,,www.charlesmusic.com,8007333847,,,,,,,emailed 10/12/22
20,Chartier Reeds,vendor,,,www.chartierreeds.com,8007297333,P.O. Box 13344,Albuquerque,NM,87192,,,
21,Chemical City Double Reeds,NEW,,,,,,,,,,,PAID 2 tables10/22 Emailed again. Definitely interested. Needs to wait for husband's work schedule to see if they can travel together. email 10/8
22,Christlieb Products,vendor,,,christliebproducts.com,(818) 783-6554,3311 Scadlock Lane,Sherman Oaks,CA,91403,,,
23,Clark Bassoon Reeds,vendor,,,www.clarkreeds.com,8709729381,4508 Peter Trail,Jonesboro,AR,72401,,,
24,Crystal Records,vendor,,,crystalrecords.com,3608347022,28818 NE Hancock Road,Camas,WA,98607,,Sent CDs (2012),
25,Cullen Blain Reeds,NEW,,,https://cullenblain.com/about,,,,,,,,New 2022
26,Danzi,NEW,,,https://danzireeds.it/en/,,,,,,,,emailed 10/17/22
27,Dessert Rose Reeds,NEW,,,https://www.desertrosereeds.com,,,,,,,,New 2022
28,Early Double Reed Service,vendor,,,loraine.com,7077633981,787 Liberty Road,Petaluma,CA,94952,,,
29,Edmund Nielsen Woodwinds,vendor,,,www.nielsen-woodwinds.com,(630) 833-5676,"2863 N. Old Missouri Rd., Ste. 104A",Fayetteville,AR,72703,,,emailed 10/5 interested in 1/4 page ad only. 
30,Eugene S. Gordon Woodwinds,vendor/repair,,,https://www.gordonwoodwinds.com/contact-us/,3126630414,410 S. Michigan Avenue,Chicago,IL,60605,,,
31,Florida Reeds,NEW,,,https://www.floridareeds.com/,,,,,,,,emailed 10/17/22; responded 10/17/22 with interest in supporting in some way
32,Forrests,vendor,,,forrestsmusic.com,8003226263,1849 University Avenue,Berkeley,CA,94703,,Exhibitor (2012),"PAID Need invoice. 3 tables, two badges, 1 page black and white ad. Bassoon commercials. emailed 10/5. 10/8 Definitely on board for 2 tables and two passes. Zoom meeting scheduled to discuss further sponsorship. "
33,Fox Products Corporation,maker,,,foxproducts.com,2607234888,P.O Box 347,South Whitley,IN,46787,,"Exhibitor, Back cover ad (2012, 2014)",need to send specifics as soon as possible--waiting for confirmation of setup/teardown;check received??; received ad and logos 
34,Garrett Music Products,vendor,,,garrettmusicproducts.com,3095563268,17 Cashel Drive,Bloomington,IL,61704,,,
35,Glotin,vendor,,,www.glotin.fr,00 33 1 60 07 62 13,,,,,,,emailed 10/17/22
36,Gumin Woodwind Services,NEW,,,https://seangumin.com/contact-us,408.279.5000,,,,,,,
37,Gustav Mollenhauer & Söhne,maker,,,https://www.gustav-mollenhauer.de/,6179651454,P.O. Box 936,Boston,MA,2123,,,emailed 10/12/22
38,The Joyous Bassoon,NEW,,,https://www.happyhaleyco.com/happyhaley-crafts,,,,,,,,10/22 Message again. FB Messaged 10/7
39,Heckel,,,,https://heckel.de/en/,,,,,,,,email invitation sent 10/7/22
40,Hermosa Reeds,,,,,,,,,,,,Jessica Campbell - messaged on FB 10/31. M.O. recommended as local vendor
41,"Hodge Products, Inc.",vendor,,,www.hodgeproductsinc.com,8886850548,,,,,,,emailed 10/12/22
42,Hudson Reed Co. ,NEW,,,https://www.hudsonreedcompany.com/shop,5853532945,,,,,,,new 2022 PM'd on Insta
43,Imagine Music,vendor,,,http://www.imaginemusicpublishing.com,(716) 523-0846,P.O. Box 15,Medina,NY,,,Exhibitor (2014),emailed 10/23
44,Innoledy,vendor,,,www.innoledy.com,7813312181,116 Riverside Drive,Norwell,MA,2061,,,
45,"Jeanné, Inc.",vendor,,,www.jeanne-inc.com,8008317691,,,MN,,,,emailed 10/13
46,JDW Sheet Music,NEW,,,https://www.jdwsheetmusic.com/,,,,,,,,emailed 10/12
47,Jiffy Reeds,NEW,,,https://www.jiffyreeds.com,,,,,,,,PAID 1 Vendor Table. New 2022 Contacted via website 10/8 - definitely coming -deciding what she wants to do.
48,KassandraBassoon,,,,,,,,,,,,"PAID 1 table, 1 extra badge. interested - will split table between her two businesses. "
49,Keith Bowen Bassoon Workshop,vendor/repair,,,fixbassoon.com,2065234396,300 NE 85th Street,Seattle,WA,9815,,,emailed 10/17/22
50,K.GE Double Reeds,vendor,,,http://shop.kge-doublereeds.com/,+61(0)3 99236184,,Shanghai,,,,,emailed 10/13/22
51,Kopp Reeds,NEW,,,https://koppreeds.com/contact.html,,,,,,,,New 2022
